,ENTREZID,SYMBOL,TAIR
19326,823579,FAR4,AT3G44540
19327,823580,FAR5,AT3G44550
19328,823581,FAR8,AT3G44560
19329,823582,NA,AT3G44570
19330,823583,NA,AT3G44580
19331,823584,NA,AT3G44590
19332,823585,AtCYP71,AT3G44600
19333,823585,CYP71,AT3G44600
19334,823587,NA,AT3G44610
19335,823588,NA,AT3G44620
19336,823589,NA,AT3G44630
19337,823592,hda10,AT3G44660
19338,823593,NA,AT3G44670
19339,823594,AtHDA9,AT3G44680
19340,823594,HDA09,AT3G44680
19341,823594,HDA9,AT3G44680
19342,823595,NA,AT3G44690
19343,28719377,NA,AT3G44700
19344,6241317,NA,AT3G44704
19345,823598,NA,AT3G44710
19346,823599,NA,AT3G44713
19347,823600,NA,AT3G44716
19348,5008061,NA,AT3G44718
19349,823601,ADT4,AT3G44720
19350,823602,AtKIN14h,AT3G44730
19351,823602,ATKP1,AT3G44730
19352,823602,KP1,AT3G44730
19353,823603,ATPSK3,AT3G44735
19354,823603,PSK1,AT3G44735
19355,823603,PSK3,AT3G44735
19356,823604,NA,AT3G44740
19357,823605,ATHD2A,AT3G44750
19358,823605,HD2A,AT3G44750
19359,823605,HDA3,AT3G44750
19360,823605,HDT1,AT3G44750
19361,823606,NA,AT3G44755
19362,823607,NA,AT3G44760
19363,823608,NA,AT3G44770
19364,823609,NA,AT3G44780
19365,2745945,NA,AT3G44785
19366,823610,NA,AT3G44790
19367,823613,NA,AT3G44800
19368,823614,NA,AT3G44805
19369,823615,NA,AT3G44810
19370,823616,NA,AT3G44820
19371,823617,NA,AT3G44830
19372,823618,NA,AT3G44840
19373,823619,NA,AT3G44850
19374,823620,FAMT,AT3G44860
19375,823621,NA,AT3G44870
19376,823622,ACD1,AT3G44880
19377,823622,LLS1,AT3G44880
19378,823622,PAO,AT3G44880
19379,823623,RPL9,AT3G44890
19380,823624,ATCHX4,AT3G44900
19381,823624,CHX4,AT3G44900
19382,823625,ATCHX12,AT3G44910
19383,823625,CHX12,AT3G44910
