GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G66700,4.492269964,2.873716209,1.232953502,2.330757977,0.019766125,0.091226413
AT2G41640,6.083462159,-1.425918229,0.6122724,-2.328895161,0.01986462,0.091636231
AT4G03320,7.982568071,1.384385949,0.594677075,2.32796253,0.019914093,0.091842029
AT4G27780,12.20447014,1.113624362,0.478444063,2.327595739,0.01993358,0.091909466
AT3G03190,5.85842941,-1.70772654,0.733800285,-2.327236136,0.019952701,0.091975184
AT1G02220,9.403337494,1.351072542,0.580665024,2.326767559,0.01997764,0.092000367
AT1G72230,11.0305068,1.191940265,0.512264325,2.326807095,0.019975535,0.092000367
AT3G15540,5.949110118,-1.439278512,0.618537823,-2.326904609,0.019970343,0.092000367
AT4G11190,11.14747533,1.255785041,0.540196579,2.324681588,0.020088993,0.092423062
AT4G24670,5.820838373,-1.518736369,0.653451689,-2.324175445,0.020116093,0.092525213
AT1G19640,4.079155733,3.324870724,1.431603473,2.322480203,0.020207093,0.09278607
AT4G28490,6.791454331,1.57097493,0.676394316,2.322572636,0.020202122,0.09278607
AT5G15240,4.69424377,2.126311096,0.916304127,2.32052987,0.020312231,0.093179933
AT2G17660,1.347249431,-3.720482511,1.603255963,-2.320579244,0.020309563,0.093179933
AT1G07090,5.777556266,-1.506447188,0.649306307,-2.320087102,0.020336166,0.093265013
AT3G16860,2.643252492,-2.363911597,1.019144321,-2.319506225,0.020367604,0.093386527
AT1G17020,5.704366558,1.722306816,0.742589822,2.319324566,0.020377444,0.093408979
AT3G22160,4.25321583,-1.83689525,0.792225823,-2.318651067,0.020413964,0.093553686
AT1G70260,2.013483517,-3.129423078,1.350237035,-2.317684227,0.020466489,0.093771656
AT5G43380,5.22375346,1.824446269,0.78734857,2.317202746,0.02049269,0.09386894
AT5G60030,17.4149324,-1.094183774,0.472382399,-2.316309363,0.020541383,0.094046387
AT1G49310,5.364588545,-1.50169941,0.648668655,-2.315048522,0.020610277,0.094316101
AT2G39530,1.349643885,-4.007300674,1.731078711,-2.314915346,0.020617565,0.094326609
AT5G05435,5.582112162,-1.438618428,0.62148307,-2.314815154,0.02062305,0.094328863
AT1G34315,3.644939094,-1.994693522,0.862091559,-2.313783843,0.020679582,0.094541665
AT1G58983,2.556994049,-4.199358367,1.815614168,-2.312913416,0.0207274,0.094714444
AT1G17830,7.423508119,1.519123232,0.656853445,2.312727814,0.020737609,0.094738181
AT1G19630,2.752883162,3.229689509,1.397525624,2.311005576,0.020832547,0.095093898
AT1G70990,1.691592759,-3.114468034,1.347753303,-2.310859137,0.020840637,0.095093898
AT1G31335,9.282770368,-1.15285559,0.498929629,-2.310657702,0.020851769,0.095121724
AT5G24270,6.323151429,1.568588102,0.679119676,2.30973738,0.020902698,0.095308031
AT5G46845,2.259975108,3.614772961,1.565334525,2.309265466,0.020928855,0.095381262
AT5G49330,4.729548993,2.020101133,0.874761777,2.309315732,0.020926067,0.095381262
AT3G48090,9.526625721,-1.179628608,0.511021647,-2.30837307,0.020978395,0.095560941
