GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G20620,1019.08594,1.262899327,0.208365213,6.060989293,1.35E-09,4.51E-08
AT5G07010,43.80985595,3.048909394,0.503273007,6.05816198,1.38E-09,4.58E-08
AT1G61890,67.69033105,1.542982709,0.254922013,6.052763704,1.42E-09,4.72E-08
AT4G39980,91.61620171,1.433166041,0.237150818,6.043268385,1.51E-09,5.00E-08
AT5G59130,19.12553511,4.284938213,0.709576021,6.038730288,1.55E-09,5.13E-08
AT1G56580,407.7736953,1.450953793,0.240693361,6.028225237,1.66E-09,5.47E-08
AT4G16750,19.63328779,4.296121567,0.714882594,6.009548423,1.86E-09,6.11E-08
AT5G39410,33.80723903,2.751179637,0.458316338,6.002796337,1.94E-09,6.36E-08
AT1G32860,23.95025913,2.805203832,0.46777071,5.996963407,2.01E-09,6.58E-08
AT5G64430,64.11715279,1.738695792,0.290375534,5.987748921,2.13E-09,6.96E-08
AT4G14270,116.3696157,2.408345563,0.402585004,5.982203849,2.20E-09,7.17E-08
AT3G05030,22.93059689,3.093709448,0.5175361,5.977765505,2.26E-09,7.36E-08
AT3G14690,80.18040481,1.325728139,0.222089942,5.969329929,2.38E-09,7.73E-08
AT3G22370,48.22413678,1.735372403,0.290914186,5.965238163,2.44E-09,7.90E-08
AT2G40475,37.7406324,2.190005893,0.367601556,5.957553377,2.56E-09,8.24E-08
AT4G30460,37.60151972,2.066620826,0.347098525,5.953989076,2.62E-09,8.41E-08
AT1G08570,86.67780593,1.423732937,0.239452041,5.945795796,2.75E-09,8.81E-08
AT3G15350,34.150233,2.154730601,0.362493302,5.944194248,2.78E-09,8.88E-08
AT4G23050,25.88761326,2.847557507,0.479696909,5.936159805,2.92E-09,9.30E-08
AT4G02280,36.83959551,3.867697826,0.652162302,5.930575588,3.02E-09,9.59E-08
AT1G78210,40.78272137,1.819723968,0.307093492,5.925635072,3.11E-09,9.86E-08
AT5G13800,56.55865574,1.601221453,0.270514739,5.919165285,3.24E-09,1.02E-07
AT1G27760,58.01645524,1.570914471,0.265612206,5.914315817,3.33E-09,1.05E-07
AT1G70640,30.31124495,7.177027725,1.214332015,5.910268061,3.42E-09,1.07E-07
AT3G06035,55.3915326,1.500301239,0.254292326,5.899907643,3.64E-09,1.13E-07
AT3G03470,47.62506822,2.144532005,0.363584506,5.898304154,3.67E-09,1.14E-07
AT4G01130,22.3214478,2.864514725,0.486810727,5.884247341,4.00E-09,1.23E-07
AT5G05200,106.3520909,1.445638222,0.245974547,5.877186226,4.17E-09,1.28E-07
AT2G41660,40.89143367,2.712639906,0.462230013,5.868593187,4.40E-09,1.35E-07
AT3G52990,84.55722878,1.175406635,0.200358407,5.866520173,4.45E-09,1.36E-07
AT4G26670,33.36041724,2.395320665,0.40870102,5.860814013,4.61E-09,1.41E-07
AT1G17745,42.48842902,2.209608445,0.377260857,5.856977748,4.71E-09,1.44E-07
AT5G48180,148.6501636,1.458513352,0.249326462,5.849813707,4.92E-09,1.49E-07
AT4G18280,62.43755668,1.919454298,0.328171495,5.848936691,4.95E-09,1.50E-07
AT1G70580,54.93010846,1.396842932,0.239033697,5.84370719,5.11E-09,1.54E-07
AT2G02990,36.74808597,5.184329763,0.887335622,5.842580454,5.14E-09,1.55E-07
AT1G07985,59.48631592,3.431196178,0.587365576,5.841670538,5.17E-09,1.55E-07
AT5G51070,96.93333087,1.335113907,0.228577152,5.840977088,5.19E-09,1.56E-07
AT5G20270,48.74278714,1.650722092,0.282911042,5.834774351,5.39E-09,1.61E-07
AT4G36010,19.55359388,3.286125098,0.563831573,5.828203411,5.60E-09,1.68E-07
AT2G18230,84.59239343,1.339971638,0.230009056,5.825734267,5.69E-09,1.69E-07
AT2G47780,40.06458424,7.043065992,1.209020539,5.82543122,5.70E-09,1.70E-07
AT1G60470,31.66632492,5.136952939,0.882590371,5.820313826,5.87E-09,1.75E-07
AT1G74520,68.28270877,1.26165919,0.216863443,5.817758722,5.96E-09,1.77E-07
AT4G17030,54.03032573,2.32730446,0.400118092,5.81654393,6.01E-09,1.78E-07
AT5G55400,29.17394911,2.405950716,0.414118691,5.809809522,6.25E-09,1.85E-07
AT1G24600,30.37351759,3.654834154,0.629451027,5.806383655,6.38E-09,1.88E-07
AT5G66052,50.20210508,2.307860051,0.399074945,5.783024161,7.34E-09,2.15E-07
AT2G45660,41.66294329,1.698040144,0.293836757,5.778855452,7.52E-09,2.20E-07
AT4G34120,99.63443089,1.350690654,0.234173512,5.767905367,8.03E-09,2.34E-07
AT5G50720,29.16701356,2.307211865,0.400104113,5.76652873,8.09E-09,2.36E-07
AT2G25620,36.55526159,2.25987239,0.391882738,5.766705629,8.08E-09,2.36E-07
AT4G11570,121.5394588,1.308548284,0.226949446,5.765813968,8.13E-09,2.36E-07
