"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G47630",11.38564469123,-0.130843355024924,0.434897936208674,-0.300859912478735,0.763521320017243,0.992209272456682
"AT5G47690",22.4601943085162,0.0697867844441934,0.354451628919516,0.196886623590717,0.843916261624734,0.992209272456682
"AT5G47800",4.08328169399043,-0.201204661051389,0.84707666278678,-0.23752827800668,0.812246984136083,0.992209272456682
"AT5G47810",4.68550596327213,-0.271146898214374,0.738614252545603,-0.367102174484012,0.713542805360672,0.992209272456682
"AT5G47840",118.250570046064,0.0168606291917182,0.209030496298168,0.080661097257635,0.935711475854991,0.992209272456682
"AT5G47860",31.6375302837309,0.0173980092160299,0.352147648634444,0.0494054391204819,0.960596193665964,0.992209272456682
"AT5G47900",4.38038351781945,0.208195489549933,0.772927783672739,0.269359562365122,0.787653001061559,0.992209272456682
"AT5G47930",221.190189099121,0.0368390477018399,0.221581915176946,0.166254758076361,0.867956468292674,0.992209272456682
"AT5G47940",5.04524218241679,-0.13059146068427,0.711109079809694,-0.183644766171765,0.854292141995531,0.992209272456682
"AT5G47970",6.49619255177041,-0.0383314405425891,0.609178482951665,-0.0629231688500569,0.949827685325033,0.992209272456682
"AT5G48040",1.92424417575663,-0.0228368216217776,1.07984710264655,-0.0211481991902445,0.983127436085406,0.992209272456682
"AT5G48110",7.00246508305369,-0.0367550442800041,0.601391612015767,-0.0611166560118908,0.95126630436778,0.992209272456682
"AT5G48150",21.9174914362704,-0.0252179407446257,0.343963437037917,-0.0733157598429446,0.941554850909002,0.992209272456682
"AT5G48340",5.48332359853161,-0.0244867406615142,0.674046033392437,-0.0363279946004188,0.971020828204397,0.992209272456682
"AT5G48360",8.28371625486453,0.0685970643669361,0.508920753879514,0.134789284665676,0.892778478118048,0.992209272456682
"AT5G48385",62.2558059773644,0.0713196133007168,0.236361803851921,0.301739164866918,0.76285090972625,0.992209272456682
"AT5G48440",9.53079664441282,-0.156977655475157,0.545388780668863,-0.287827071328163,0.773479113925013,0.992209272456682
"AT5G48520",8.97970437671137,0.0848351639033963,0.522905166166417,0.162238144490615,0.871118322724252,0.992209272456682
"AT5G48540",22.2671590297598,-0.0142680898654182,0.345076150855436,-0.0413476556697644,0.967018741800564,0.992209272456682
"AT5G48570",5.19546450728669,-0.0901523991764319,0.648422894552418,-0.139033337554592,0.88942380531637,0.992209272456682
"AT5G48600",4.64783682847391,0.170410792807215,0.692968311264716,0.24591426481855,0.80574860112809,0.992209272456682
"AT5G48620",15.1574809560175,-0.110582221166872,0.428959694391855,-0.2577916354674,0.796567720293158,0.992209272456682
"AT5G48640",15.0765824636804,0.0076641727736384,0.416342331256895,0.0184083438032857,0.985313096178895,0.992209272456682
"AT5G48650",2.03129355560916,-0.0328289634797354,1.12826763306888,-0.0290967874266151,0.976787397976824,0.992209272456682
"AT5G48657",3.52867130086519,-0.328090556160736,0.77084172799978,-0.425626356544141,0.670380131803391,0.992209272456682
"AT5G48660",4.07771713840326,-0.123257769220332,0.746631876719675,-0.165085061411877,0.86887703094845,0.992209272456682
"AT5G48720",7.85065627357949,0.0285651206827405,0.539570047323344,0.0529405233378762,0.95777929669569,0.992209272456682
"AT5G48790",54.9573466174892,-0.013363025806737,0.226822143822921,-0.0589141147399147,0.953020515642976,0.992209272456682
"AT5G48910",8.59904319172935,0.161318287371632,0.554847316722442,0.290743565859813,0.771247449430676,0.992209272456682
