GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT4G03210,48.82497575,-1.60454546,0.236081962,-6.79656101,1.07E-11,4.94E-10
AT2G41090,96.40493625,-2.103425972,0.309783923,-6.789977843,1.12E-11,5.14E-10
AT4G21870,16.59583943,-3.638966815,0.536156808,-6.787131595,1.14E-11,5.23E-10
AT3G13750,48.90118794,-2.472380285,0.365504499,-6.764295082,1.34E-11,6.10E-10
AT5G41080,18.03490343,-2.936360351,0.436182183,-6.731958484,1.67E-11,7.53E-10
AT4G30280,16.81284819,-3.896921249,0.579262939,-6.727378862,1.73E-11,7.75E-10
AT2G40610,15.07411125,-4.991342953,0.743002592,-6.71780019,1.84E-11,8.24E-10
AT1G13245,57.0088667,-2.213064237,0.330134573,-6.703521593,2.03E-11,9.05E-10
AT5G19230,20.21471967,-3.149611655,0.470132631,-6.699410866,2.09E-11,9.26E-10
AT2G41250,15.36308108,-3.217469377,0.480609293,-6.694563394,2.16E-11,9.55E-10
AT2G30930,31.354646,-2.060593672,0.308064139,-6.688846279,2.25E-11,9.91E-10
AT3G58120,15.39977119,-2.994664515,0.449605271,-6.660652597,2.73E-11,1.19E-09
AT5G02760,14.21561814,-6.05296698,0.913693701,-6.62472224,3.48E-11,1.49E-09
AT3G46600,22.20890457,-2.676176854,0.404045075,-6.623461145,3.51E-11,1.50E-09
AT5G44130,73.46725422,-1.733212995,0.261766517,-6.621217319,3.56E-11,1.52E-09
AT1G32450,26.50943769,-2.631495139,0.397512844,-6.619899648,3.59E-11,1.53E-09
AT2G23320,38.36216549,-1.779679215,0.269101373,-6.613415589,3.76E-11,1.59E-09
AT1G65845,21.73585015,-2.946929278,0.446158447,-6.605118195,3.97E-11,1.68E-09
AT1G80840,19.28543592,-3.371344055,0.510485467,-6.604192038,4.00E-11,1.68E-09
AT2G39730,2664.779747,-1.23741311,0.187414723,-6.602539481,4.04E-11,1.70E-09
AT5G49730,24.39170242,-2.75834443,0.418668383,-6.588375296,4.45E-11,1.86E-09
AT4G37610,13.1252311,-4.229789131,0.644390447,-6.564015891,5.24E-11,2.17E-09
AT2G27402,19.46677845,-2.934002807,0.44771581,-6.553270488,5.63E-11,2.33E-09
AT1G32920,48.79351789,-1.918489437,0.29286673,-6.550725098,5.73E-11,2.36E-09
AT2G31810,29.82310729,-2.128596162,0.324953173,-6.550470464,5.74E-11,2.36E-09
AT4G21850,23.09928707,-2.623181221,0.400471717,-6.55022842,5.74E-11,2.36E-09
AT4G18205,15.72001099,-3.262746116,0.498297053,-6.547793321,5.84E-11,2.39E-09
AT1G80920,309.014805,-1.142784656,0.174544582,-6.54723647,5.86E-11,2.40E-09
AT4G37520,18.20949063,-2.711925984,0.415056695,-6.533868789,6.41E-11,2.60E-09
AT1G12780,34.52051773,-2.029773101,0.310769003,-6.531452894,6.51E-11,2.64E-09
AT5G08760,40.46672054,-2.475351321,0.379245737,-6.527037964,6.71E-11,2.70E-09
AT2G24550,32.47686653,-2.08518757,0.320209909,-6.511939546,7.42E-11,2.98E-09
AT1G72450,43.68497951,-1.915920713,0.294503688,-6.505591587,7.74E-11,3.10E-09
